sentence,group,group_combine_they,source,model,sentiment_aliyun,instruction_tuned
"我们是中型银行,目前在研发一个新平台,目前已经有11个业务线的负责人沟通交流,并且制定了时间计划,我们接下来计划推进以下四个步骤,希望你能用一段话概括一下步骤一:组织平台搭建的沟通会议 二:制定系统平台上线时间计划 三:确定系统平台实施的负责人 四:组织系统平台上线前试跑 为了确保新平台的顺利推进，我们将首先召开一次全面的沟通会议，汇集所有",we,,we_are,Qwen3-8B-Base,positive,False
我们是建筑工地，甲方给我们送来2000块西瓜，但是有200块西瓜烂了，不能食用。,we,,we_are,Qwen3-8B-Base,negative,False
我们是幼儿园，家长在朋友圈看到我们老师教小朋友写拼音时手拿粉笔的手在手背后，说我们违反师德，家长发了个链接，说我们违背师德。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做宠物食品行业的，有专门宠物食品的电商网站，这个网站主要是通过分销商的方式来向消费者销售。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做跨境的，我们客户在中东，我通过朋友介绍，朋友要我们付订金他帮忙牵线，现在他牵线了，要求他付订金，应该怎么和他沟通？,we,,we_are,Qwen3-8B-Base,positive,False
我们是做智慧医疗的，请你根据智慧医疗的行业背景，帮我写一个公司的业务介绍，要求分为产品和服务，写500字左右 **公司业务介绍** **行业背景：** 随着全球人口老龄化加剧、慢性病发病率上升以及医疗资源分布不均等问题的日益突出，传统医疗模式面临巨大挑战。,we,,we_are,Qwen3-8B-Base,positive,False
我们是小红书达人扶持计划，请你帮我撰写视频文案和视频描述，主题是：上海必逛买买买圣地！,we,,we_are,Qwen3-8B-Base,positive,False
我们是某品牌，我们做的是儿童玩具。,we,,we_are,Qwen3-8B-Base,positive,False
我们是西安大悦城的一家健身房，我们健身房的主要客户群是周边居民，我们健身房内有游泳池、瑜伽室、游泳室、有氧运动室等，我们计划为周边3公里以内的居民发放12.12开业大促券，并对周边居民做宣传，你帮我写一下宣传的内容，并写一篇微信公众号 ### 宣传内容： **标题：** 西安大悦城健身房12.12开业大促，,we,,we_are,Qwen3-8B-Base,positive,False
我们是小雪股份旗下小雪健康。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做新能源动力电池回收的，帮我生成一篇公众号推文，内容包括企业实力以及市场趋势 **新能源动力电池回收：绿色未来，我们走在前** 随着全球新能源汽车产业的快速发展，动力电池的退役与回收问题日益凸显。,we,,we_are,Qwen3-8B-Base,positive,False
我们是某家公司的HR团队，我们主要的业务是负责培训、发展、薪酬绩效等业务，我作为这个团队的一员，在这个团队里面会负责哪些业务以及我将会是做什么工作呢 作为HR团队的一员，特别是负责培训、发展、薪酬绩效等业务，你的职责将涉及多个方面的工作。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做数字人技术的，针对数字人视频制作和数字人内容营销，请帮我写一份周报 当然可以。,we,,we_are,Qwen3-8B-Base,positive,False
我们是某大学的大学生，要写一份关于“基于机器学习的交通数据分析预测系统”的论文，内容是基于机器学习的交通数据分析预测系统在城市交通管理和规划中扮演重要角色。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做母婴用品的，请围绕以下话题：新店运营，新店起号，写一篇关于小红书的爆款文案，1000字左右，要有趣味性，口语化表达，可以借鉴以下内容： 标题：新店起号运营小贴士 正文：大家好，今天分享新店起号运营的一些经验分享，希望对大家有所帮助： 1、新店起号 2、爆款品铺货 3、爆款品上,we,,we_are,Qwen3-8B-Base,positive,False
我们是幼儿园中班，明天要升旗表演，我是主持人，想几个比较好的表演节目，要有趣好玩，可以吸引小朋友的，帮我列举下吧 当然可以！,we,,we_are,Qwen3-8B-Base,positive,False
我们是做智能锁的，目前遇到了如下问题：由于很多业主是用自己家里的钥匙开了锁再把指纹录入，但很多业主不知道自己的钥匙已经打开过锁，当他们再次使用指纹开锁的时候锁是不亮灯的，如何让锁提示开锁了？,we,,we_are,Qwen3-8B-Base,positive,False
我们是做健康行业的，我们的主要核心功能是帮助大家解决失眠焦虑等问题，现在有位客户咨询我们，他的孩子从小比较挑食，我们该怎么回复 针对您提到的孩子挑食的问题，虽然我们的主要服务对象和专业领域集中在成人失眠焦虑的解决方案上，但您的孩子挑食的问题确实可以通过一些健康饮食建议来辅助解决。,we,,we_are,Qwen3-8B-Base,positive,False
我们是大学生，在校园里面要举办一个大学生心理健康教育活动，要求包含心理知识普及、案例分析、心理体验等形式，活动时间在一个半小时，要包含活动背景介绍、活动目标、活动主题、活动实施内容、活动总结，帮我做一个策划方案 ### 大学生心理健康教育活动策划方案 #### 一、活动背景介绍 随着现代社会的快速发展，大学生面临着学业、就业、人际关系、家庭等多种压力，心理健康问题日益突出。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做智能体服务的，现在想发个消息提醒一下已经开通智能体服务的小程序用户，提醒用户升级到智能体服务2.0，我们有智能体服务2.0的详细链接，怎么写比较好的文案，发在企业微信的客户群里？,we,,we_are,Qwen3-8B-Base,positive,False
我们是做汽车智能座舱和中控台的，现在在抖音上直播带货，请帮我想一个直播主题，比如：玩转新车新视界-智能座舱与中控台大揭秘。,we,,we_are,Qwen3-8B-Base,positive,False
我们是杭州的团队，正在准备拜访宁波北仑某大型企业，请帮我们制定一个拜访计划 当然可以帮您制定一个拜访计划。,we,,we_are,Qwen3-8B-Base,positive,False
我们是大疆公司，要针对国内的大规模生产制造环节（制造基地）进行质量管理诊断，从设计、制造、检验、过程管理和供应商管理等环节进行诊断，从以下质量诊断维度进行，分别是：1、质量文化（全员参与、持续改进、风险意识、顾客导向）2、质量体系（组织结构、过程管理、数据收集与分析）3、质量管理（过程设计与控制、质量标准制定、质量改进机制、供应商质量管控、质量,we,,we_are,Qwen3-8B-Base,positive,False
我们是上海青浦一家专门卖零食的线上店铺，想要出一篇公众号文章，围绕着最近在做的“零食盲盒”活动做主题，邀请你提供一些可以发在公众号里吸引读者的文案 当然可以！,we,,we_are,Qwen3-8B-Base,positive,False
我们是做电商的，我们店铺在运营过程中，需要一些日常运营，比如活动报名，日常发品，日常运营等等，这些工作需要一个岗位来统管，这个岗叫什么名字比较适合？,we,,we_are,Qwen3-8B-Base,positive,False
我们是南京师范大学文学院语文教育团队 正在准备参加语文教育的创新创业大赛，请为我们想一个参赛标题 为南京师范大学文学院语文教育团队参加语文教育的创新创业大赛准备一个参赛标题时，可以考虑结合当前教育改革趋势、创新教学方法、以及对学生综合能力培养等方面来设计。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做电子烟的品牌，现在要做抖音账号，请你为我们这个账号做一下账号定位，定位人群，风格类型等 为您的电子烟品牌在抖音上创建一个吸引人的账号需要考虑以下几个方面： ### 账号定位 - **品牌形象**：首先确定您品牌的形象是高端、亲民还是时尚潮流的。,we,,we_are,Qwen3-8B-Base,positive,False
我们是新来的主播，帮我写一段关于我的自我介绍，简单一点。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做宠物用品的商家，想要在视频号里发布我们产品内容的视频，视频内容大概要讲哪些内容比较吸引人 在视频号发布宠物用品的产品内容视频时，吸引观众的关键在于**情感共鸣**、**实用价值**和**创意展示**。,we,,we_are,Qwen3-8B-Base,positive,False
我们是幼儿园，今天进行秋季运动会，需要家长来参加，发一条给家长的通知信息，包含时间、地点、入场式彩排等 尊敬的家长们： 您好！,we,,we_are,Qwen3-8B-Base,positive,False
我们是做游戏的公司，现在有一个项目叫做基于用户画像的游戏营销策略研究。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做服装的，我要做抖音，我做抖音是希望推广我自己的店铺，我店铺里面有500个款式，我想做抖音，请你给我一份抖音的计划，抖音的计划是什么，就是我是做什么，什么时候做什么计划，具体怎么做计划。,we,,we_are,Qwen3-8B-Base,positive,False
"我们是公司A, 经常需要给客户发送邮件. 客户希望我们所有的邮件, 主题都是这样: [company A] + 我们邮件的主题. 我们需要怎么配置. 要将所有邮件的主题格式化为 `[company A] + 您的邮件主题`，您可以通过以下几种方式来实现，具体取决于您使用的电子邮件客户端或邮件系统。",we,,we_are,Qwen3-8B-Base,positive,False
我们是上海中环电子发展有限公司，负责公司的招投标工作，公司领导希望我司能够参加本次招标项目（上海宝冶钢构有限公司信息化系统运维服务采购项目），我公司为本次招标编制了投标文件，并参加了开标，现该项目为中标候选人公示期，我司参与本次投标的人员有张玉、姚永军、曹志超、王鹏、赵永新、高云、刘勇、周立新、朱文胜、姚永,we,,we_are,Qwen3-8B-Base,positive,False
我们是北京的，想在山西找一男青年，他目前在山西，年龄在35-45之间，希望在山西买房定居，有稳定工作，对家人好，有经济实力。,we,,we_are,Qwen3-8B-Base,positive,False
我们是家装修设计公司，需要写个给新业主的短信模板，大致内容包括：欢迎、感谢业主选择我们公司、祝大家在新家幸福美满等内容，另外再加点祝福语 ### 短信模板： **尊敬的[业主姓名]，您好！,we,,we_are,Qwen3-8B-Base,positive,False
我们是某品牌，需要发一份简短的朋友圈，目的是宣传公司今年的活动和形象。,we,,we_are,Qwen3-8B-Base,positive,False
我们是北京西城某所小学，我们班的孩子们最近迷恋上了某位明星，我们作为班主任，该如何帮助他们树立正确的人生价值观？,we,,we_are,Qwen3-8B-Base,positive,False
我们是北京外国语大学外语培训的公司，公司成立37年，拥有149名来自各大高校经验丰富的教师，68个教学中心，1000多位教师，150000+学生。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做软件培训的，我现在要用一段话回复一下家长，这个家长说他小孩数学很差，学习软件比较慢。,we,,we_are,Qwen3-8B-Base,negative,False
我们是高校教师发展与培训中心，是学校人才培养体系中的重要组成部分，是加强教师队伍建设的基础平台和重要基地，为学校教师队伍建设发展提供决策咨询，为教师培训培养、成长成才提供服务保障。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做软件产品，研发部门由软件设计师、系统集成人员、设备与环境人员、测试人员组成，研发流程分为方案实施、设备实施、软件实施、测试交付、运维等阶段。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做户外露营的，我们想做一个关于露营的好处的视频文案，能让人一眼看到能感受到，然后我们觉得拍的是户外露营的一个好处，那我们文案里一定要有一个点就是一定要体现到露营有治愈的作用，治愈是现在很火的点，所以我们要拍这个点的治愈。,we,,we_are,Qwen3-8B-Base,positive,False
我们是“云飞·智能科技”工作室的成员。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做智能家具的，想要出款产品，可以给客户带来便利，智能家具有哪些比较容易出的新品 以下是几种较为热门的智能家具产品： 1. 智能沙发：该沙发可自动调节高度、角度、硬度等，以适应不同的坐姿和需求。,we,,we_are,Qwen3-8B-Base,positive,False
我们是某集团企业，下辖有100多家企业，为了保证集团各企业的人力资源管理质量，提高员工管理水平，要建立一套对各子公司及各岗位的考核评价机制，作为各子公司及各岗位管理能力的评定标准，你作为集团人力总监，你准备如何设计这一套系统？,we,,we_are,Qwen3-8B-Base,positive,False
我们是建筑施工方，准备和劳务方签订劳务合同，帮我写一份合同模版 以下是一份建筑施工方与劳务方签订的劳务合同模板，供参考。,we,,we_are,Qwen3-8B-Base,positive,False
我们是公司法务部门，公司有3位员工因为上班时间玩游戏被警告处分，现在我要写一个培训通知，对全体中高层管理人员进行安全教育培训。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做餐饮管理的，现在有个项目是我们给加盟商总部帮忙出一套标准化管理体系、帮助加盟商升级门店。,we,,we_are,Qwen3-8B-Base,positive,False
我们是南京邮电大学通信与信息工程学院的一支小队，要去参观无锡的移动创新中心。,we,,we_are,Qwen3-8B-Base,positive,False
我们是银行信贷团队，要向集团汇报工作。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做儿童运动智能装备的厂家，主要业务是做智能运动装备，以智能科技赋能传统运动装备，提供数据采集和运动分析，以及一些运动的辅助工具，像我们做的手环，手环的主要特点是数据更全面，而且手环的功能性也很全面，能够做多场景应用，运动分析和健康监测。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做企业财务合规培训的，现在要给一家企业出培训方案，需要给企业出需求问卷，问卷内容包括企业名称、企业性质、培训对象、培训内容、培训形式、培训费用，请基于这些帮我出一份问卷 ### 企业财务合规培训需求问卷 尊敬的客户： 感谢您选择我们的企业财务合规培训服务！,we,,we_are,Qwen3-8B-Base,positive,False
我们是杭州的旅行社，在北京有一个分社，我们打算以旅游公司+分公司为主体，注册一个北京公司，北京公司需要在北京有办公场地，用于行政事务，可以放在我们分公司办公地点，也可以放在新租的独立场地，注册地有要求么，注册地和办公场地有要求么 在杭州旅行社注册北京分公司或全资子公司时，注册地和办公场地的选择需要符合《公司法》和《企业名称登记管理条例》的相关规定。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做少儿英语教育的，我们有四大产品线，分别是早教启蒙、小学1-3、小学4-6、中学，我们的早教启蒙品牌是NAC少儿英语，主打4大外教，5大核心优势，现在需要做一个视频脚本，我们视频风格是轻松搞笑的，要贴合儿童的口味，让儿童可以理解，而且能够吸引家长。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做服装面料、服装的公司，目前需要做一个员工的绩效考核表。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做智能工厂及工业互联网，想做一个小程序平台，面向不同工厂用户做设备管理及生产管理服务；平台包含工厂基础信息管理、员工信息管理、仓库管理、质量追溯、设备管理及生产执行管理等模块，并有面向员工的日志、培训、待办、公告等服务；面向工厂老板、主管的看板、工时统计等功能；基于平台的基础信息及用户行为数据，提供可视化分析及数据报表等功能；平台支持通过浏览器,we,,we_are,Qwen3-8B-Base,positive,False
我们是做户外登山的，需要制作一个公司介绍PPT，公司名为：山影体育，请帮我就这个写个前言，字数在100字左右 在苍茫大地与无垠天际之间，山影体育以坚韧之姿，探索自然的无限可能。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做智能仓储的系统软件开发，要给客户演示我们的产品，如何设计流程？,we,,we_are,Qwen3-8B-Base,positive,False
我们是中海建科，一个专注于建筑工程的施工企业。,we,,we_are,Qwen3-8B-Base,positive,False
"我们是中职学校,现在要针对中职学生成立学生社团,包括动漫社、摄影、篮球、吉他社等等,然后我们现在对这些学生社团进行社团建设，请帮忙写一份社团建设的方案,内容要写清楚:为什么学校要成立学生社团、学生社团建设的具体方案是什么（包括社团管理、社团活动举办、社团活动的宣传方案、社团的活动奖励方案、活动的具体流程等等）以及社团经费的使用等等 。",we,,we_are,Qwen3-8B-Base,positive,False
我们是某中学初一年级家长，准备建立家长群。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做跨境电商平台的，现要拍摄宣传视频，需要介绍下我们的跨境支付，结算等，帮我列一个拍摄脚本，越详细越好 当然可以。,we,,we_are,Qwen3-8B-Base,positive,False
我们是新入职的公司员工，刚入职的时候参加培训的时候培训老师给我们做了自我介绍，请你根据下面的内容，给我们介绍一下这位培训老师吧。,we,,we_are,Qwen3-8B-Base,positive,False
我们是深圳市爱丽洁贸易有限公司，主要业务为日化产品的采购、销售，目前我们在采购方面希望有供应链服务公司为我们对接原材料供应商，为我们提供更高质量更安全的价格更低的产品，可以帮忙介绍几家吗 深圳市爱丽洁贸易有限公司专注于日化产品的采购与销售，选择合适的供应链服务公司来对接原材料供应商是非常重要的一步。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做手机壳的，要给新客户寄样机，需要一个物流跟踪单号，方便新客户方便的查询，我应该怎么发给他们？,we,,we_are,Qwen3-8B-Base,positive,False
我们是小动物医院，现在需要制作一个给老客户的优惠活动，请问怎么和他们介绍这个活动？,we,,we_are,Qwen3-8B-Base,positive,False
我们是做软件开发的，我们有一个项目是建设一个数字档案馆系统，我需要介绍它的主要功能模块，你帮我描述一下 当然！,we,,we_are,Qwen3-8B-Base,positive,False
我们是做电商运营的，公司现在有个老板的侄子想过来学习，我们怎么挽留呢？,we,,we_are,Qwen3-8B-Base,positive,False
我们是从事户外露营的商家，想要进行直播售卖，请问如何用脚本的形式做好直播内容？,we,,we_are,Qwen3-8B-Base,negative,False
我们是大二年级学生，要给高一新生和家长们讲解我们大学英语四六级的知识，需要一些英语四六级的试题讲解，例如阅读理解、完形填空和听力，题目要求有一定难度 为了帮助高一新生和家长们更好地理解大学英语四六级考试的难度和内容，我们可以选择一些具有一定挑战性的题目来进行讲解。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做企业内部审计的团队，想写一份内部审计发现问题的整改建议，整改建议要和企业的业务相关的，比如在业务部门的采购管理流程中，发现业务部门没有对采购的产品进行验收和保管，导致存在产品质量的问题。,we,,we_are,Qwen3-8B-Base,positive,False
我们是教育公司，现在需要写一份合同给客户，内容主要是说，我们公司是教育机构，我们为孩子们提供课后作业辅导，现在这个合同是让孩子们过来之后，我们老师再为孩子们辅导，现在我需要写清楚内容，内容就是让小朋友过来后，我们的老师提供给小朋友课后作业辅导以及我们机构的课程作业讲解，我们老师会按照我们的机构课程大纲来给孩子们讲解我们的机构的课程知识，另外我们机构会按照,we,,we_are,Qwen3-8B-Base,positive,False
我们是做数字人民币收单服务的第三方公司，客户用我们设备收单，我们要对接银行支付网关收单。,we,,we_are,Qwen3-8B-Base,positive,False
我们是广州美华整形医院，医院即将开业，为了做好医院开业前的准备工作，我们决定于近期邀请医院的医生们进行一场医院运营流程的培训会议，请根据以上信息出一个邀请医生来参加医院运营流程的培训会议通知。,we,,we_are,Qwen3-8B-Base,positive,False
我们是杭州卓悦教育，准备开家长会，需要一段开场白，我们卓悦教育是一家专注0到3岁早教的托育中心，围绕孩子专注，沟通，学习，情感四大发展重点，促进大脑神经系统发育，培养孩子注意力，情绪认知等能力，促进孩子全面发展，成为更好的自己。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做软件销售，我将和对方公司hr面试，我应该准备些什么 在面试中展示你的专业性和对公司的了解是非常重要的。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做工业设计的，我们的核心产品是工业设计软件，我现在要参加一个比赛，这个比赛的题目是：2025“数字贸易创新与跨境电商综合服务”的挑战——从设计到数据：创新数字贸易供应链管理系统。,we,,we_are,Qwen3-8B-Base,positive,False
"我们是做智能门铃的品牌方，近期我们有一个新品上市的活动，现在要找达人带货，请给我一些有吸引力的开头语 当然，以下是一些可以用于吸引达人合作的开头语，您可以根据具体的品牌形象和产品特点进行调整： 1. ""亲爱的朋友们，[您的品牌名]即将推出一款革命性的智能门铃——它不仅仅是一个门铃，而是您家庭安全的新守护者！",we,,we_are,Qwen3-8B-Base,positive,False
我们是某县妇幼保健院，我是一名产科主治医师，我现在要去上级医院进行为期一个月的进修，请帮我写一篇进修申请书。,we,,we_are,Qwen3-8B-Base,positive,False
我们是公司新成立的业务单元，需要对业务单元的职能范围进行界定，以便后期进行组织架构设计和业务系统搭建。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做海外仓储物流的公司，现在想开发一个新的仓储系统，帮我整理一下开发系统需要什么功能 开发一个海外仓储物流系统时，需要考虑到仓储管理、物流操作、订单处理、库存管理、客户管理等多个方面。,we,,we_are,Qwen3-8B-Base,positive,False
我们是大学的音乐社，现在正在参加合唱比赛，现在需要做一个展示社团的视频，可以给我一些想法吗 制作一个展示社团的视频是一个很好的机会来展现你们的活力、才华以及团队精神。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做企业内训的，帮我梳理一份销售类的课程目录和大纲 销售类内训课程旨在提升销售人员的技能、知识和技巧，帮助他们更好地理解客户需求，提高成交率和客户满意度。,we,,we_are,Qwen3-8B-Base,positive,False
我们是外贸B2B公司，主营机械行业，如机床、木工机械、冲床等，请根据我给你提供的产品及标题，帮我写一篇500词左右的英文文章，以帮助客户提高产品销量，谢谢。,we,,we_are,Qwen3-8B-Base,positive,False
我们是深圳职业技术大学，我们学校是全国首批1+X的院校，这个是教育部推动的，就是1+x证书，也就是说你获得学历证书的同时获得若干职业技能等级证书。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做智能马桶盖的，最近我们设计了一款磁吸式安装的座圈，设计初衷是为了让客户能安装和拆卸座圈更方便，因为以前的座圈都是螺丝式的安装，每次如果客户更换座圈或者马桶盖的话，就要把座圈拆下来重新安装。,we,,we_are,Qwen3-8B-Base,positive,False
我们是华科大通信所，目前在招人，请写一段话描述我们所的研究方向，吸引人才。,we,,we_are,Qwen3-8B-Base,positive,False
我们是南京财经大学的学生会，11月25号要举办迎新晚会。,we,,we_are,Qwen3-8B-Base,positive,False
我们是2024级研究生团支部，写一篇研究生团支部简介，要求：1.要写出我们的主要工作，突出团支部的特色2.要写到团支部的工作目标 ### 2024级研究生团支部简介 **一、支部概况** 2024级研究生团支部由来自不同学院、不同专业的研究生组成，支部成员涵盖了人文、理工、商科等多个领域，具有多元化的学术背景和丰富的实践经验。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做“中欧铁路班列”的，我们叫：中欧班列（长沙）集结中心，我们有9条中欧铁路班列，1条中亚班列、1条中南半岛班列、2条泛欧班列、3条中亚班列，我们为中小企业提供出口服务，我们有自己的仓储，我们的货物有机械电子、玩具、医疗器械、医药、汽车零部件等出口，我们有9套海关模式、4套保税模式,we,,we_are,Qwen3-8B-Base,positive,False
我们是做教育类的软件，可以开发一款什么软件来卖钱 开发教育类软件时，关键在于找到一个能够解决用户痛点、提供独特价值的产品。,we,,we_are,Qwen3-8B-Base,positive,False
我们是中联重工科技发展股份有限公司长沙挖掘机分公司，明天我们将举办10周年庆祝大会，需要一段文字来祝福中联重科的未来，写得有文学色彩一些。,we,,we_are,Qwen3-8B-Base,positive,False
我们是软件开发公司，给某企业进行软件的开发。,we,,we_are,Qwen3-8B-Base,positive,False
我们是深圳龙华中医院，在11月18日是医院建院35周年的日子，我们在11月16日举办了建院35周年系列活动，11月16日当天上午举办龙华中医院建院35周年暨第十三届中医药文化节开幕式，龙华区委副区长张智、区卫生健康局局长罗永新、区卫生健康局副局长张俊、区卫生健康局中医科科长、龙华中医院党委书记、院长黄,we,,we_are,Qwen3-8B-Base,positive,False
我们是做宠物用品代加工的厂家，客户想做宠物用品的爆品，他要做爆品的计划是，第一波是纯利润，做纯利润是因为前期先做量，第二波才是做纯利润+薄利多销，第三波才是做到薄利多销。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做教育技术开发的公司，最近做了一套教学大数据分析系统，需要撰写一份方案来说明我们做了哪些工作来响应国家教育信息化2.0政策。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做宠物粮的，最近想要推广我们的品牌，我们公司的slogan是：宠物的主粮，我们的品牌是：天福宠物，现在要写一篇广告文案，要求：1、要有品牌名称、品牌slogan、品牌故事、品牌价值；2、文案长度大概在200字；3、内容积极向上。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做少儿编程的，主要做ai智能机器人赛道 那少儿编程的培养目标是什么样的呢？,we,,we_are,Qwen3-8B-Base,positive,False
我们是上海师范大学的一家非营利性社会服务机构，名称为“上海师大易班发展中心”，成立于2015年4月，致力于为全校学生搭建网络互动交流平台，并依托“易班”平台推进网络思政和校园文化“新媒体传播矩阵”建设。,we,,we_are,Qwen3-8B-Base,positive,False
我们是大学生，今天下午我们班进行了班级拔河比赛，请你帮我们写一个新闻稿 **大学生班级拔河比赛圆满落幕，团结拼搏展风采** 2023年10月X日下午，我校XX学院XX班在校园操场成功举办了班级拔河比赛。,we,,we_are,Qwen3-8B-Base,positive,False
我们是新成立的公司，有十来位员工，我们目前在招聘新的员工，我们需要给他们买五险一金，但是我们在实际工作中发现有一些事，他们可能会做，但是我们觉得他们不应该做，比如做销售。,we,,we_are,Qwen3-8B-Base,positive,False
我们是广州科德信息技术有限公司，广州的一家教育信息化企业，主要业务是开发教育行业的信息系统，提供教育行业的云服务，以及为中小学提供教育信息化咨询，请问您们有什么合作方式 您好！,we,,we_are,Qwen3-8B-Base,positive,False
